time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789702760.8970714,0.010106786001415458,81161,81253,0.0,233971712,1,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702761.3589752,0.47201141900222865,81161,81253,0.0,233971712,5,2206842880,8573157376,49.0,700Mhz,96Mhz,
1789702761.8251507,0.9381868880009279,81161,81253,0.0,233971712,2,2206842880,8573157376,49.0,700Mhz,96Mhz,
1789702762.2879167,1.400952601001336,81161,81253,0.0,233971712,2,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702762.754201,1.8672370500025863,81161,81253,0.0,233971712,3,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702763.2162685,2.3293046860017057,81161,81253,0.0,233971712,2,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702763.6822016,2.795237922000524,81161,81253,0.0,233971712,4,2206842880,8573157376,49.0,700Mhz,96Mhz,
1789702764.1526022,3.265638193999621,81161,81253,0.0,233971712,5,2206842880,8573157376,49.0,700Mhz,96Mhz,
1789702764.6222908,3.7353270189996692,81161,81253,0.0,233971712,3,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702765.0914123,4.204448259002675,81161,81253,0.0,233971712,4,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702765.5629175,4.675953253001353,81161,81253,0.0,233971712,2,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702766.0193944,5.132430470002873,81161,81253,0.0,233971712,4,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702766.4868505,5.599886612002592,81161,81253,0.0,233971712,2,2206842880,8573157376,49.0,700Mhz,96Mhz,
1789702766.9539628,6.066998850001255,81161,81253,0.0,233971712,2,2206842880,8573157376,48.0,700Mhz,96Mhz,
1789702767.4255576,6.538593635003053,81161,81253,14.8,236855296,99,2208821248,8573157376,53.0,2635Mhz,1000Mhz,
