time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789702654.888739,0.010685020999517292,80571,80677,0.0,233525248,8,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702655.3557906,0.47773716899973806,80571,80677,0.0,233525248,6,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702655.8177218,0.9396683730010409,80571,80677,0.0,233525248,6,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702656.2830966,1.4050432030016964,80571,80677,0.0,233525248,6,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702656.7468162,1.8687631860011606,80571,80677,0.0,233525248,3,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702657.2006226,2.3225691050029127,80571,80677,0.0,233525248,5,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702657.6714146,2.7933608220009774,80571,80677,0.0,233525248,5,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702658.1503913,3.272337583999615,80571,80677,0.0,233525248,6,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702658.623183,3.7451297020015772,80571,80677,0.0,233525248,5,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702659.0880287,4.209975175999716,80571,80677,0.0,233525248,3,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702659.5512075,4.673153773001104,80571,80677,0.0,233525248,4,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702660.019733,5.141680136002833,80571,80677,0.0,233525248,5,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702660.4927611,5.614707806002116,80571,80677,0.0,233525248,4,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702660.9644217,6.08636841200132,80571,80677,0.0,233525248,5,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702661.439112,6.561058439001499,80571,80677,0.0,233525248,3,2206842880,8573157376,46.0,700Mhz,96Mhz,
1789702661.9030535,7.025000034002005,80571,80677,21.5,236519424,98,2208821248,8573157376,55.0,2630Mhz,1000Mhz,
1789702662.3689659,7.490912440000102,80571,80677,24.6,236519424,99,2208821248,8573157376,59.0,2590Mhz,1000Mhz,
1789702662.815688,7.937634755002364,80571,80677,24.1,236519424,97,2208821248,8573157376,60.0,2620Mhz,1000Mhz,
1789702663.2730455,8.394991912002297,80571,80677,23.9,236519424,99,2208821248,8573157376,60.0,2580Mhz,1000Mhz,
1789702663.7322772,8.854223648002517,80571,80677,28.0,236519424,98,2209345536,8573157376,61.0,2625Mhz,1000Mhz,
1789702664.196476,9.318422415002715,80571,80677,24.4,236519424,99,2209345536,8573157376,61.0,2585Mhz,1000Mhz,
1789702664.6470683,9.769014321002032,80571,80677,26.5,236519424,99,2209345536,8573157376,61.0,2575Mhz,1000Mhz,
1789702665.0990686,10.221015541999805,80571,80677,26.0,236519424,98,2209345536,8573157376,61.0,2625Mhz,1000Mhz,
1789702665.5600016,10.681947594999656,80571,80677,24.1,236519424,99,2209345536,8573157376,62.0,2590Mhz,1000Mhz,
1789702666.0164056,11.138352032001421,80571,80677,25.8,236519424,99,2209345536,8573157376,62.0,2570Mhz,1000Mhz,
1789702666.4815178,11.603464458999952,80571,80677,24.3,236519424,93,2209345536,8573157376,62.0,2625Mhz,1000Mhz,
1789702666.9334564,12.055403219001164,80571,80677,26.6,236519424,99,2209345536,8573157376,62.0,2610Mhz,1000Mhz,
1789702667.3842854,12.506231907002075,80571,80677,24.2,236519424,99,2209345536,8573157376,62.0,2570Mhz,1000Mhz,
1789702667.8390622,12.961008846999903,80571,80677,26.3,236519424,94,2209345536,8573157376,62.0,2625Mhz,1000Mhz,
1789702668.2954965,13.417442893001862,80571,80677,24.1,236519424,99,2209345536,8573157376,63.0,2575Mhz,1000Mhz,
1789702668.7509968,13.872943340000347,80571,80677,26.1,236519424,99,2209345536,8573157376,63.0,2565Mhz,1000Mhz,
1789702669.2102745,14.332221087002836,80571,80677,24.1,236519424,99,2209345536,8573157376,64.0,2560Mhz,1000Mhz,
