time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789698361.711072,0.011276339000687585,51258,51346,0.0,234893312,1,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698362.1764956,0.47670066799946653,51258,51346,0.0,234893312,7,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698362.6255977,0.9258021490004467,51258,51346,0.0,234893312,2,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698363.0874774,1.3876825329989515,51258,51346,0.0,234893312,1,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698363.5503724,1.850577617999079,51258,51346,0.0,234893312,4,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698364.0083656,2.3085707949994685,51258,51346,0.0,234893312,3,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698364.4674509,2.767656132000411,51258,51346,0.0,234893312,1,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698364.9320025,3.2322077930002706,51258,51346,0.0,234893312,0,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698365.399417,3.6996220609999,51258,51346,0.0,234893312,3,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698365.8786592,4.17886441399969,51258,51346,0.0,234893312,4,2225160192,8573157376,46.0,700Mhz,96Mhz,
1789698366.3525896,4.65279440499944,51258,51346,0.0,234893312,2,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698366.8092093,5.109414778999053,51258,51346,0.0,234893312,2,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698367.2719824,5.572188091999124,51258,51346,0.0,234893312,1,2225160192,8573157376,46.0,700Mhz,96Mhz,
1789698367.767143,6.067348268999922,51258,51346,0.0,234893312,3,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698368.2276511,6.5278563009997015,51258,51346,0.0,234893312,3,2225160192,8573157376,47.0,700Mhz,96Mhz,
1789698368.6896193,6.989824325999507,51258,51346,19.2,237674496,98,2227138560,8573157376,57.0,2630Mhz,1000Mhz,
1789698369.158204,7.458409306000249,51258,51346,15.3,237674496,97,2227662848,8573157376,59.0,2630Mhz,1000Mhz,
1789698369.6170962,7.91730114100028,51258,51346,13.4,237674496,86,2227662848,8573157376,59.0,2630Mhz,1000Mhz,
1789698370.0649815,8.365186659999381,51258,51346,14.8,237674496,69,2227662848,8573157376,60.0,2625Mhz,1000Mhz,
1789698370.538074,8.83827967400066,51258,51346,17.4,237699072,95,2227662848,8573157376,60.0,2625Mhz,1000Mhz,
1789698370.9964972,9.29670235499907,51258,51346,15.1,237699072,42,2227662848,8573157376,61.0,1940Mhz,1000Mhz,
1789698371.460315,9.760519748000661,51258,51346,15.3,237699072,99,2227662848,8573157376,60.0,2625Mhz,1000Mhz,
1789698371.9164805,10.216685777999373,51258,51346,12.9,237699072,99,2227662848,8573157376,61.0,2625Mhz,1000Mhz,
1789698372.379966,10.680171067999254,51258,51346,15.5,237699072,97,2227662848,8573157376,61.0,2625Mhz,1000Mhz,
1789698372.8311636,11.131368349000695,51258,51346,15.5,237723648,96,2227662848,8573157376,59.0,2630Mhz,675Mhz,
1789698373.2817311,11.581936474000031,51258,51346,11.1,237723648,98,2227662848,8573157376,62.0,2630Mhz,1000Mhz,
1789698373.7309065,12.031111385000258,51258,51346,15.1,237723648,99,2227662848,8573157376,62.0,2625Mhz,1000Mhz,
1789698374.1960924,12.496297702000447,51258,51346,13.1,237723648,99,2227662848,8573157376,62.0,2625Mhz,1000Mhz,
1789698374.653521,12.953726363999522,51258,51346,10.8,237723648,99,2227662848,8573157376,63.0,2625Mhz,1000Mhz,
1789698375.114811,13.4150163230006,51258,51346,10.8,237723648,99,2227662848,8573157376,62.0,2625Mhz,1000Mhz,
1789698375.5791736,13.879378900999654,51258,51346,15.3,237723648,92,2227761152,8573157376,62.0,2625Mhz,1000Mhz,
1789698376.0372028,14.337408458999562,51258,51346,10.8,237723648,97,2227761152,8573157376,62.0,2625Mhz,1000Mhz,
1789698376.4990165,14.799221633000343,51258,51346,15.3,237723648,98,2227761152,8573157376,63.0,2625Mhz,1000Mhz,
1789698376.957663,15.257868885999414,51258,51346,13.2,237723648,93,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698377.4103274,15.710532551000142,51258,51346,15.0,237748224,99,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698377.8756444,16.175849699000537,51258,51346,13.1,237748224,97,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698378.3334029,16.633608414000264,51258,51346,15.0,237748224,99,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698378.799175,17.09937996699955,51258,51346,10.8,237748224,48,2227761152,8573157376,65.0,2540Mhz,1000Mhz,
1789698379.2641697,17.56437519099927,51258,51346,13.0,237748224,77,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698379.7250571,18.025262355999075,51258,51346,13.1,237748224,44,2227761152,8573157376,65.0,1870Mhz,1000Mhz,
1789698380.1821024,18.482307673999458,51258,51346,17.7,237879296,99,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698380.634393,18.934598155999993,51258,51346,17.1,237879296,65,2227761152,8573157376,65.0,2115Mhz,1000Mhz,
1789698381.1025095,19.402714690999346,51258,51346,15.6,237879296,94,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698381.5524569,19.852661159999116,51258,51346,14.9,237879296,99,2227761152,8573157376,65.0,2625Mhz,1000Mhz,
1789698382.0236218,20.323827223999615,51258,51346,13.0,237879296,84,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698382.4847276,20.784932280999783,51258,51346,20.1,237879296,99,2227761152,8573157376,64.0,2625Mhz,1000Mhz,
1789698382.9331362,21.233340576000046,51258,51346,14.8,237879296,48,2227761152,8573157376,66.0,2625Mhz,1000Mhz,
1789698383.4070215,21.707226746999368,51258,51346,13.1,237879296,70,2227761152,8573157376,66.0,2625Mhz,1000Mhz,
1789698383.8646176,22.164822180000556,51258,51346,15.4,237879296,99,2227761152,8573157376,66.0,2625Mhz,1000Mhz,
1789698384.3199482,22.62015355099902,51258,51346,15.2,237879296,99,2227761152,8573157376,67.0,2625Mhz,1000Mhz,
1789698384.7819192,23.082124307000413,51258,51346,15.2,237879296,99,2227761152,8573157376,63.0,2625Mhz,1000Mhz,
