time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789738617.5134218,0.01044230300021809,32631,32775,0.0,235327488,0,2415403008,8573157376,49.0,700Mhz,96Mhz,
1789738617.944336,0.4413568920003854,32631,32775,0.0,235327488,1,2415403008,8573157376,49.0,700Mhz,96Mhz,
1789738618.3741772,0.8711988900004144,32631,32775,0.0,235327488,4,2423431168,8573157376,49.0,700Mhz,96Mhz,
1789738618.7945762,1.2915971160000481,32631,32775,0.0,235327488,2,2423431168,8573157376,49.0,700Mhz,96Mhz,
1789738619.2229452,1.7199664080003458,32631,32775,0.0,235327488,3,2423431168,8573157376,50.0,700Mhz,96Mhz,
1789738619.6263306,2.1233516200004487,32631,32775,0.0,235327488,8,2423431168,8573157376,49.0,700Mhz,96Mhz,
1789738620.0419009,2.5389218330001313,32631,32775,0.0,235327488,3,2423431168,8573157376,49.0,700Mhz,96Mhz,
1789738620.475694,2.9727149840000493,32631,32775,0.0,235327488,5,2423431168,8573157376,49.0,700Mhz,96Mhz,
1789738620.8969653,3.3939868790002947,32631,32775,0.0,235327488,5,2423431168,8573157376,49.0,700Mhz,96Mhz,
1789738621.3104641,3.8074854200003756,32631,32775,0.0,235327488,3,2423431168,8573157376,50.0,700Mhz,96Mhz,
1789738621.7383952,4.23541621800041,32631,32775,0.0,235327488,2,2421334016,8573157376,49.0,700Mhz,96Mhz,
1789738622.1480865,4.645108148000418,32631,32775,0.0,235327488,4,2421334016,8573157376,49.0,700Mhz,96Mhz,
1789738622.5620372,5.0590582940003515,32631,32775,0.0,235327488,4,2421334016,8573157376,49.0,700Mhz,96Mhz,
1789738622.9811873,5.478208736000397,32631,32775,0.0,235327488,3,2421334016,8573157376,49.0,700Mhz,96Mhz,
1789738623.3972561,5.894277475000308,32631,32775,0.0,235327488,3,2421334016,8573157376,49.0,700Mhz,96Mhz,
1789738623.8314617,6.328483010000127,32631,32775,0.0,235327488,7,2421334016,8573157376,49.0,700Mhz,96Mhz,
1789738624.2543814,6.751402923000114,32631,32775,0.0,235327488,3,2415403008,8573157376,49.0,700Mhz,96Mhz,
1789738624.6849864,7.182008189000044,32631,32775,0.0,235327488,4,2415403008,8573157376,49.0,700Mhz,96Mhz,
