time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789738407.3064885,0.010506451999845012,28891,29028,0.0,235474944,1,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738407.757867,0.4618855019998591,28891,29028,0.0,235474944,3,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738408.2370687,0.9410870279998562,28891,29028,0.0,235474944,1,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738408.6954286,1.3994469019999087,28891,29028,0.0,235474944,2,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738409.1575384,1.8615566560001753,28891,29028,0.0,235474944,2,2399543296,8573157376,48.0,700Mhz,96Mhz,
1789738409.6125555,2.316574133999893,28891,29028,0.0,235474944,3,2399543296,8573157376,48.0,700Mhz,96Mhz,
1789738410.0745633,2.77858170699983,28891,29028,0.0,235474944,2,2399543296,8573157376,48.0,700Mhz,96Mhz,
1789738410.563877,3.267895662000228,28891,29028,0.0,235474944,1,2399543296,8573157376,49.0,700Mhz,96Mhz,
1789738411.1305346,3.8345530139999937,28891,29028,0.0,235474944,2,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738411.5963326,4.3003508169999805,28891,29028,0.0,235474944,2,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738412.0626197,4.766637696000089,28891,29028,0.0,235474944,5,2397446144,8573157376,48.0,700Mhz,96Mhz,
1789738412.5217454,5.225763938,28891,29028,0.0,235474944,1,2397446144,8573157376,48.0,700Mhz,96Mhz,
1789738412.9948683,5.698886448999929,28891,29028,0.0,235474944,3,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738413.4696155,6.173634117999882,28891,29028,0.0,235474944,4,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738413.9426398,6.646658238999862,28891,29028,0.0,235474944,1,2397446144,8573157376,49.0,700Mhz,96Mhz,
1789738414.43363,7.137648851999984,28891,29028,8.6,238362624,44,2398969856,8573157376,49.0,700Mhz,541Mhz,
1789738414.897541,7.601559674999862,28891,29028,26.0,238362624,99,2399424512,8573157376,60.0,2625Mhz,1000Mhz,
1789738415.3590949,8.063113173000147,28891,29028,25.5,238362624,98,2399424512,8573157376,62.0,2625Mhz,1000Mhz,
1789738415.8296986,8.53371665800023,28891,29028,21.3,238362624,97,2399424512,8573157376,63.0,2610Mhz,1000Mhz,
1789738416.298251,9.00226930100007,28891,29028,25.4,238362624,99,2399948800,8573157376,63.0,2585Mhz,1000Mhz,
1789738416.7716148,9.475633195000228,28891,29028,25.6,238362624,99,2399948800,8573157376,62.0,2610Mhz,1000Mhz,
1789738417.2393901,9.943408519000059,28891,29028,22.1,238362624,99,2405011456,8573157376,63.0,2575Mhz,1000Mhz,
1789738417.6915128,10.395531365999886,28891,29028,27.6,238362624,98,2405011456,8573157376,63.0,2610Mhz,1000Mhz,
1789738418.1621978,10.86621622199982,28891,29028,21.4,238362624,99,2405011456,8573157376,64.0,2570Mhz,1000Mhz,
1789738418.6296637,11.333682012999816,28891,29028,29.6,238362624,98,2405011456,8573157376,64.0,2620Mhz,1000Mhz,
1789738419.102692,11.806710543999998,28891,29028,23.4,238362624,99,2405011456,8573157376,64.0,2575Mhz,1000Mhz,
1789738419.5735593,12.27757807099988,28891,29028,21.7,238362624,99,2405011456,8573157376,65.0,2570Mhz,1000Mhz,
1789738420.035026,12.739044868999827,28891,29028,24.0,238362624,99,2402914304,8573157376,65.0,2575Mhz,1000Mhz,
1789738420.4928634,13.196881676999965,28891,29028,23.7,238362624,97,2402914304,8573157376,65.0,2625Mhz,1000Mhz,
1789738420.9568071,13.660825649999879,28891,29028,27.6,238362624,99,2402914304,8573157376,64.0,2625Mhz,1000Mhz,
1789738421.428435,14.132453786000042,28891,29028,25.4,238362624,99,2402914304,8573157376,65.0,2575Mhz,1000Mhz,
1789738421.9016473,14.605665769000097,28891,29028,20.8,238362624,99,2402914304,8573157376,66.0,2575Mhz,1000Mhz,
1789738422.3825529,15.086571314000139,28891,29028,25.2,238362624,99,2402914304,8573157376,66.0,2565Mhz,1000Mhz,
1789738422.85867,15.562688417000118,28891,29028,25.2,238362624,99,2402914304,8573157376,66.0,2565Mhz,1000Mhz,
