time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789737854.8520179,0.010145586999897205,21497,21667,0.0,237203456,4,2401533952,8573157376,48.0,700Mhz,96Mhz,
1789737855.3170774,0.47520541199992294,21497,21667,0.0,237203456,4,2403631104,8573157376,48.0,700Mhz,96Mhz,
1789737855.779384,0.9375118890000067,21497,21667,0.0,237203456,5,2403631104,8573157376,49.0,700Mhz,96Mhz,
1789737856.2562644,1.4143921279999176,21497,21667,0.0,237203456,3,2403631104,8573157376,48.0,700Mhz,96Mhz,
1789737856.7235515,1.8816796270000395,21497,21667,0.0,237203456,5,2403631104,8573157376,48.0,700Mhz,96Mhz,
1789737857.1947637,2.352891707000026,21497,21667,0.0,237203456,3,2401533952,8573157376,48.0,700Mhz,96Mhz,
1789737857.676624,2.8347520790000544,21497,21667,0.0,237203456,6,2401533952,8573157376,48.0,700Mhz,96Mhz,
1789737858.1277778,3.285905888999878,21497,21667,0.0,237203456,4,2395602944,8573157376,48.0,700Mhz,96Mhz,
1789737858.6034105,3.76153856499991,21497,21667,0.0,237203456,4,2395602944,8573157376,49.0,700Mhz,96Mhz,
1789737859.0708761,4.2290041759999895,21497,21667,0.0,237203456,4,2395602944,8573157376,48.0,700Mhz,96Mhz,
1789737859.6327279,4.790855775999944,21497,21667,0.0,237203456,2,2400665600,8573157376,48.0,700Mhz,96Mhz,
1789737860.1001105,5.2582391860000826,21497,21667,0.0,237203456,2,2400665600,8573157376,49.0,700Mhz,96Mhz,
1789737860.5830548,5.741182928999933,21497,21667,0.0,237203456,4,2400665600,8573157376,48.0,700Mhz,96Mhz,
1789737861.0514655,6.209593490000088,21497,21667,0.0,237203456,2,2400665600,8573157376,48.0,700Mhz,96Mhz,
1789737861.5235476,6.68167624900002,21497,21667,0.0,237203456,4,2400665600,8573157376,49.0,700Mhz,96Mhz,
1789737862.0066378,7.164765594000073,21497,21667,23.2,239996928,98,2400546816,8573157376,59.0,2630Mhz,1000Mhz,
1789737862.4802976,7.638425698999981,21497,21667,21.4,239996928,99,2401071104,8573157376,61.0,2580Mhz,1000Mhz,
1789737862.9468904,8.105017971000052,21497,21667,28.1,239996928,99,2401071104,8573157376,61.0,2580Mhz,1000Mhz,
1789737863.408962,8.567089874999965,21497,21667,23.1,239996928,94,2401071104,8573157376,62.0,2625Mhz,1000Mhz,
1789737863.8859148,9.044042835000027,21497,21667,31.7,240033792,99,2401071104,8573157376,62.0,2570Mhz,1000Mhz,
1789737864.360376,9.518504480000047,21497,21667,26.1,240033792,99,2401071104,8573157376,62.0,2585Mhz,1000Mhz,
1789737864.8193347,9.977462590999949,21497,21667,28.1,240033792,99,2401071104,8573157376,63.0,2585Mhz,1000Mhz,
1789737865.2820387,10.440166681999926,21497,21667,23.8,240033792,99,2398105600,8573157376,64.0,2570Mhz,1000Mhz,
1789737865.7433186,10.901446437999994,21497,21667,31.9,240070656,99,2398105600,8573157376,63.0,2580Mhz,1000Mhz,
1789737866.2128417,11.37096990100008,21497,21667,25.9,240070656,94,2398105600,8573157376,64.0,2625Mhz,1000Mhz,
1789737866.6768434,11.83497132499997,21497,21667,25.9,240070656,99,2398105600,8573157376,65.0,2580Mhz,1000Mhz,
1789737867.1409082,12.299036630000046,21497,21667,27.8,240070656,99,2403168256,8573157376,64.0,2580Mhz,1000Mhz,
1789737867.6085963,12.766724243999988,21497,21667,23.4,240070656,98,2403168256,8573157376,67.0,2625Mhz,1000Mhz,
1789737868.0790014,13.237129764999963,21497,21667,30.1,240070656,99,2403266560,8573157376,64.0,2625Mhz,1000Mhz,
1789737868.5447557,13.702884498000003,21497,21667,25.7,240070656,99,2403266560,8573157376,65.0,2565Mhz,1000Mhz,
1789737869.011507,14.169634921999887,21497,21667,27.4,240070656,98,2403266560,8573157376,65.0,2600Mhz,1000Mhz,
1789737869.4860458,14.644174046999979,21497,21667,23.5,240070656,99,2401169408,8573157376,65.0,2570Mhz,1000Mhz,
1789737869.953324,15.111451974999909,21497,21667,27.9,240070656,99,2401169408,8573157376,62.0,2625Mhz,1000Mhz,
1789737870.419609,15.577737123999896,21497,21667,28.4,240070656,93,2401169408,8573157376,66.0,2570Mhz,1000Mhz,
1789737870.8774004,16.035527903000002,21497,21667,24.3,240070656,99,2401169408,8573157376,66.0,2570Mhz,1000Mhz,
1789737871.3296137,16.487741674000063,21497,21667,27.8,240070656,99,2401169408,8573157376,66.0,2590Mhz,1000Mhz,
1789737871.7970026,16.955130483999937,21497,21667,23.1,240070656,95,2401169408,8573157376,66.0,2625Mhz,1000Mhz,
1789737872.2726672,17.430794920999915,21497,21667,33.3,240222208,99,2401169408,8573157376,66.0,2625Mhz,1000Mhz,
1789737872.7527258,17.91085383399991,21497,21667,32.7,240222208,80,2398203904,8573157376,66.0,2625Mhz,1000Mhz,
1789737873.2120225,18.370150609999882,21497,21667,32.2,240222208,99,2398203904,8573157376,66.0,2620Mhz,1000Mhz,
1789737873.6776981,18.835825761000024,21497,21667,34.6,240222208,99,2398203904,8573157376,67.0,2620Mhz,1000Mhz,
1789737874.139517,19.29764529299996,21497,21667,33.9,240222208,99,2398203904,8573157376,67.0,2585Mhz,1000Mhz,
1789737874.6113267,19.76945512899988,21497,21667,32.4,240222208,93,2398203904,8573157376,67.0,2620Mhz,1000Mhz,
1789737875.0749116,20.233039427999984,21497,21667,34.0,240222208,99,2398203904,8573157376,66.0,2620Mhz,1000Mhz,
1789737875.5447357,20.702863694999905,21497,21667,31.6,240222208,98,2398203904,8573157376,67.0,2620Mhz,1000Mhz,
1789737876.0188987,21.177026785999942,21497,21667,34.1,240222208,99,2398203904,8573157376,67.0,2620Mhz,1000Mhz,
1789737876.4882278,21.646355675999985,21497,21667,32.5,240222208,99,2398203904,8573157376,67.0,2620Mhz,1000Mhz,
1789737876.9495323,22.107660073000034,21497,21667,30.8,240222208,99,2398203904,8573157376,65.0,2625Mhz,1000Mhz,
1789737877.4047844,22.562912504999986,21497,21667,32.1,240222208,95,2398203904,8573157376,67.0,2625Mhz,1000Mhz,
1789737877.8721,23.03022798500001,21497,21667,34.7,240222208,99,2398203904,8573157376,67.0,2625Mhz,1000Mhz,
1789737878.333838,23.491966504999937,21497,21667,37.3,240222208,99,2398203904,8573157376,67.0,2625Mhz,1000Mhz,
1789737878.8158855,23.974013718999913,21497,21667,30.9,240222208,96,2398203904,8573157376,68.0,2625Mhz,1000Mhz,
1789737879.300867,24.4589951129999,21497,21667,36.9,240222208,99,2398203904,8573157376,68.0,2625Mhz,1000Mhz,
1789737879.7620268,24.92015408799989,21497,21667,36.5,240222208,85,2398203904,8573157376,67.0,2625Mhz,1000Mhz,
1789737880.227983,25.38611134300004,21497,21667,56.4,240222208,76,2398203904,8573157376,66.0,2625Mhz,1000Mhz,
1789737880.688875,25.847002875000044,21497,21667,49.3,240222208,79,2398203904,8573157376,64.0,2625Mhz,1000Mhz,
1789737881.2162125,26.374340832999906,21497,21667,56.5,240222208,92,2395238400,8573157376,66.0,2625Mhz,1000Mhz,
1789737881.6762724,26.834400446000018,21497,21667,60.4,240222208,75,2395238400,8573157376,66.0,2625Mhz,1000Mhz,
1789737882.156291,27.314418529000022,21497,21667,58.9,240222208,92,2395238400,8573157376,65.0,2625Mhz,1000Mhz,
1789737882.6148856,27.77301331700005,21497,21667,57.9,240222208,93,2395238400,8573157376,65.0,2625Mhz,1000Mhz,
1789737883.0642948,28.222422697999946,21497,21667,53.0,240353280,77,2395238400,8573157376,64.0,2625Mhz,1000Mhz,
1789737883.5360568,28.694184524000093,21497,21667,2.1,240353280,1,2403266560,8573157376,57.0,700Mhz,96Mhz,
1789737884.0106852,29.168813269999873,21497,21667,0.0,240353280,1,2403266560,8573157376,55.0,700Mhz,96Mhz,
1789737884.4804611,29.638588905000006,21497,21667,0.0,240353280,3,2403266560,8573157376,55.0,700Mhz,96Mhz,
1789737884.9600616,30.118189323000024,21497,21667,0.0,240353280,1,2403266560,8573157376,55.0,700Mhz,96Mhz,
1789737885.4184523,30.576580078000006,21497,21667,0.0,240353280,3,2403266560,8573157376,54.0,700Mhz,96Mhz,
1789737885.889045,31.047172831999887,21497,21667,0.0,240353280,0,2403266560,8573157376,54.0,700Mhz,96Mhz,
1789737886.3578281,31.515955935999955,21497,21667,0.0,240353280,2,2409197568,8573157376,54.0,700Mhz,96Mhz,
1789737886.8246317,31.982759729999998,21497,21667,0.0,240353280,3,2409197568,8573157376,53.0,700Mhz,96Mhz,
1789737887.2838109,32.44193891400005,21497,21667,0.0,240353280,3,2409197568,8573157376,53.0,700Mhz,96Mhz,
1789737887.753032,32.911159923000014,21497,21667,0.0,240353280,5,2409197568,8573157376,53.0,700Mhz,96Mhz,
1789737888.217678,33.37580643399997,21497,21667,0.0,240353280,5,2409197568,8573157376,53.0,700Mhz,96Mhz,
1789737888.6929705,33.85109838700009,21497,21667,0.0,240353280,3,2409197568,8573157376,52.0,700Mhz,96Mhz,
