time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789737786.8834963,0.019129456000200662,20253,20446,0.0,229408768,5,2403639296,8573157376,45.0,700Mhz,96Mhz,
1789737787.4068656,0.5424992660000498,20253,20446,0.0,229408768,6,2403639296,8573157376,45.0,700Mhz,96Mhz,
1789737787.888402,1.0240359160000025,20253,20446,0.0,229408768,6,2403639296,8573157376,45.0,700Mhz,96Mhz,
1789737788.3462455,1.4818798320000042,20253,20446,0.0,229408768,5,2403639296,8573157376,45.0,700Mhz,96Mhz,
1789737788.8106334,1.9462673170000926,20253,20446,0.0,229408768,2,2403639296,8573157376,45.0,700Mhz,96Mhz,
1789737789.288266,2.4238996650001354,20253,20446,0.0,229408768,5,2403639296,8573157376,45.0,700Mhz,96Mhz,
1789737789.755687,2.8913205540000035,20253,20446,0.0,229408768,4,2401542144,8573157376,45.0,700Mhz,96Mhz,
1789737790.2207181,3.3563518060000206,20253,20446,0.0,229408768,3,2401542144,8573157376,45.0,700Mhz,96Mhz,
1789737790.6913674,3.827001009000014,20253,20446,0.0,229408768,6,2401542144,8573157376,45.0,700Mhz,96Mhz,
1789737791.155905,4.291538726999988,20253,20446,0.0,229408768,5,2395611136,8573157376,46.0,700Mhz,96Mhz,
1789737791.6330612,4.768694790000154,20253,20446,0.0,229408768,0,2395615232,8573157376,45.0,700Mhz,96Mhz,
1789737792.1000216,5.235655173000168,20253,20446,0.0,229408768,6,2395615232,8573157376,45.0,700Mhz,96Mhz,
1789737792.564586,5.7002197500000875,20253,20446,0.0,229408768,5,2395615232,8573157376,45.0,700Mhz,96Mhz,
1789737793.0396104,6.175243980999994,20253,20446,0.0,229408768,6,2392649728,8573157376,45.0,700Mhz,96Mhz,
1789737793.53028,6.665913729000067,20253,20446,0.0,229408768,7,2392649728,8573157376,45.0,700Mhz,96Mhz,
1789737793.9883382,7.1239719870000044,20253,20446,0.0,229408768,2,2392649728,8573157376,45.0,700Mhz,96Mhz,
1789737794.4570215,7.59265525800015,20253,20446,0.0,229408768,3,2392649728,8573157376,45.0,700Mhz,96Mhz,
1789737794.9284613,8.064095080000016,20253,20446,0.0,229408768,5,2397712384,8573157376,45.0,700Mhz,96Mhz,
1789737795.4046178,8.54025148200003,20253,20446,0.0,229408768,6,2397712384,8573157376,45.0,700Mhz,96Mhz,
1789737795.896429,9.03206268300005,20253,20446,0.0,229408768,2,2397708288,8573157376,45.0,700Mhz,96Mhz,
1789737796.3718257,9.507459457000095,20253,20446,0.0,229408768,4,2397708288,8573157376,45.0,700Mhz,96Mhz,
1789737796.8387094,9.974343319000127,20253,20446,0.0,229408768,2,2395611136,8573157376,45.0,700Mhz,96Mhz,
