time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789753439.6656432,0.010988874000759097,334578,334728,0.0,236904448,4,2238345216,8573157376,49.0,700Mhz,96Mhz,
1789753440.147105,0.49245131600036984,334578,334728,0.0,236904448,1,2235379712,8573157376,48.0,700Mhz,96Mhz,
1789753440.6401381,0.9854849080002168,334578,334728,0.0,236904448,4,2246373376,8573157376,49.0,700Mhz,96Mhz,
1789753441.1001198,1.4454662790012662,334578,334728,0.0,236904448,6,2246373376,8573157376,48.0,700Mhz,96Mhz,
1789753441.5698652,1.9152115590004541,334578,334728,0.0,236904448,3,2246373376,8573157376,48.0,700Mhz,96Mhz,
1789753442.031781,2.3771276410006976,334578,334728,0.0,236904448,2,2246373376,8573157376,49.0,700Mhz,96Mhz,
1789753442.485569,2.8309151909998036,334578,334728,0.0,236904448,4,2249338880,8573157376,49.0,700Mhz,96Mhz,
1789753442.9548242,3.300170986000012,334578,334728,0.0,236904448,3,2251436032,8573157376,48.0,700Mhz,96Mhz,
1789753443.4152837,3.760630001001118,334578,334728,0.0,236904448,4,2251436032,8573157376,48.0,700Mhz,96Mhz,
1789753443.880896,4.226242405002267,334578,334728,0.0,236904448,1,2251436032,8573157376,48.0,700Mhz,96Mhz,
1789753444.351459,4.696805684001447,334578,334728,0.0,236904448,2,2247241728,8573157376,48.0,700Mhz,96Mhz,
1789753444.8636305,5.208977062000486,334578,334728,0.0,236904448,5,2247241728,8573157376,48.0,700Mhz,96Mhz,
1789753445.3193717,5.664718364001601,334578,334728,0.0,236904448,3,2247241728,8573157376,48.0,700Mhz,96Mhz,
1789753445.7942288,6.139575542001694,334578,334728,0.0,236904448,5,2247241728,8573157376,49.0,700Mhz,96Mhz,
1789753446.26241,6.607756463999976,334578,334728,0.0,236904448,1,2247241728,8573157376,48.0,700Mhz,96Mhz,
1789753446.7421896,7.087536457001988,334578,334728,14.2,239808512,98,2251317248,8573157376,53.0,2635Mhz,1000Mhz,
1789753447.2351737,7.580520669001999,334578,334728,23.1,239808512,99,2251317248,8573157376,60.0,2585Mhz,1000Mhz,
1789753447.7107341,8.056080574002408,334578,334728,20.2,239808512,99,2262306816,8573157376,61.0,2555Mhz,1000Mhz,
1789753448.2063046,8.55165072499949,334578,334728,25.2,239808512,99,2262831104,8573157376,61.0,2550Mhz,1000Mhz,
1789753448.683145,9.028491435001342,334578,334728,25.3,239808512,99,2260733952,8573157376,61.0,2555Mhz,1000Mhz,
1789753449.156887,9.502233390001493,334578,334728,23.8,239808512,98,2260733952,8573157376,62.0,2595Mhz,1000Mhz,
