time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789753378.8862202,0.010519119001401123,333205,333369,0.0,236785664,3,2245734400,8573157376,46.0,700Mhz,96Mhz,
1789753379.3638663,0.4881659380007477,333205,333369,0.0,236785664,4,2245734400,8573157376,46.0,700Mhz,96Mhz,
1789753379.8338082,0.9581078299997898,333205,333369,0.0,236785664,5,2245734400,8573157376,46.0,700Mhz,96Mhz,
1789753380.312139,1.4364387470013753,333205,333369,0.0,236785664,4,2243637248,8573157376,46.0,700Mhz,96Mhz,
1789753380.7838712,1.9081706690012652,333205,333369,0.0,236785664,2,2243637248,8573157376,46.0,700Mhz,96Mhz,
1789753381.2490172,2.373317047000455,333205,333369,0.0,236785664,2,2241540096,8573157376,46.0,700Mhz,96Mhz,
1789753381.7183206,2.842620652001642,333205,333369,0.0,236785664,3,2241540096,8573157376,46.0,700Mhz,96Mhz,
1789753382.2011735,3.325473500000953,333205,333369,0.0,236785664,2,2241540096,8573157376,46.0,700Mhz,96Mhz,
1789753382.6824481,3.806748200000584,333205,333369,0.0,236785664,5,2241540096,8573157376,46.0,700Mhz,96Mhz,
1789753383.1535752,4.277874685001734,333205,333369,0.0,236785664,3,2243637248,8573157376,46.0,700Mhz,96Mhz,
1789753383.642131,4.76643047700054,333205,333369,0.0,236785664,3,2243637248,8573157376,46.0,700Mhz,96Mhz,
1789753384.103752,5.228052266000304,333205,333369,0.0,236785664,2,2238574592,8573157376,46.0,700Mhz,96Mhz,
1789753384.5676448,5.691944710000826,333205,333369,0.0,236785664,2,2238574592,8573157376,46.0,700Mhz,96Mhz,
1789753385.044444,6.168743779999204,333205,333369,0.0,236785664,2,2240671744,8573157376,46.0,700Mhz,96Mhz,
1789753385.5099158,6.634215981001034,333205,333369,0.0,236785664,3,2240671744,8573157376,46.0,700Mhz,96Mhz,
1789753385.9782088,7.10250856499988,333205,333369,15.3,239693824,99,2242650112,8573157376,53.0,2639Mhz,1000Mhz,
1789753386.4364514,7.560750715998438,333205,333369,24.0,239693824,97,2242650112,8573157376,59.0,2630Mhz,1000Mhz,
1789753386.8950558,8.019355640000867,333205,333369,26.3,239693824,99,2244747264,8573157376,59.0,2590Mhz,1000Mhz,
1789753387.3520117,8.476311115999124,333205,333369,22.9,239693824,98,2242650112,8573157376,59.0,2630Mhz,1000Mhz,
1789753387.831692,8.955991547998565,333205,333369,27.8,239693824,99,2243174400,8573157376,59.0,2585Mhz,1000Mhz,
1789753388.2986717,9.422971117000998,333205,333369,23.2,239693824,99,2241077248,8573157376,60.0,2585Mhz,1000Mhz,
1789753388.7718272,9.896127615000296,333205,333369,25.8,239693824,99,2241077248,8573157376,61.0,2605Mhz,1000Mhz,
1789753389.2362168,10.360516414999438,333205,333369,23.5,239693824,99,2241077248,8573157376,60.0,2580Mhz,1000Mhz,
1789753389.7038329,10.828132471000572,333205,333369,27.5,239693824,99,2241077248,8573157376,61.0,2590Mhz,1000Mhz,
1789753390.1758478,11.300165607000963,333205,333369,21.6,239693824,99,2241077248,8573157376,61.0,2580Mhz,1000Mhz,
1789753390.6389563,11.763256191999972,333205,333369,23.3,239693824,98,2241077248,8573157376,62.0,2610Mhz,1000Mhz,
1789753391.1104887,12.234788202000345,333205,333369,24.2,239693824,97,2243174400,8573157376,62.0,2625Mhz,1000Mhz,
