time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789755822.8772132,0.011289523001323687,400265,400415,0.0,235147264,3,2245496832,8573157376,48.0,700Mhz,96Mhz,
1789755823.3488202,0.48289728100280627,400265,400415,0.0,235147264,1,2245496832,8573157376,49.0,700Mhz,96Mhz,
1789755823.8188746,0.9529522320008255,400265,400415,0.0,235147264,3,2245496832,8573157376,49.0,700Mhz,96Mhz,
1789755824.2926328,1.4267097760020988,400265,400415,0.0,235147264,2,2245496832,8573157376,49.0,700Mhz,96Mhz,
1789755824.753824,1.887900982001156,400265,400415,0.0,235147264,4,2245496832,8573157376,49.0,700Mhz,96Mhz,
1789755825.2196677,2.3537447430026077,400265,400415,0.0,235147264,2,2243399680,8573157376,49.0,700Mhz,96Mhz,
1789755825.6950655,2.829142556001898,400265,400415,0.0,235147264,0,2243399680,8573157376,49.0,700Mhz,96Mhz,
1789755826.1660202,3.3000972180016106,400265,400415,0.0,235147264,1,2243399680,8573157376,49.0,700Mhz,96Mhz,
1789755826.6333084,3.7673854450004,400265,400415,0.0,235147264,1,2243399680,8573157376,49.0,700Mhz,96Mhz,
1789755827.0870273,4.221103694002522,400265,400415,0.0,235147264,2,2243399680,8573157376,49.0,700Mhz,96Mhz,
1789755827.5735438,4.707620868000959,400265,400415,0.0,235147264,2,2243399680,8573157376,49.0,700Mhz,96Mhz,
1789755828.0661757,5.200252443999489,400265,400415,0.0,235147264,2,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755828.5325933,5.666670041002362,400265,400415,0.0,235147264,1,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755829.0163884,6.150465252001595,400265,400415,0.0,235147264,1,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755829.495484,6.62956115900306,400265,400415,0.0,235147264,2,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755829.9660065,7.100083704001008,400265,400415,21.2,238018560,99,2242412544,8573157376,58.0,2635Mhz,1000Mhz,
1789755830.4386723,7.572749505001411,400265,400415,23.5,238018560,99,2242412544,8573157376,61.0,2590Mhz,1000Mhz,
1789755830.907423,8.04150054999991,400265,400415,23.2,238018560,99,2242412544,8573157376,62.0,2580Mhz,1000Mhz,
1789755831.3807373,8.514813820002018,400265,400415,25.3,238018560,99,2242412544,8573157376,61.0,2605Mhz,1000Mhz,
1789755831.8559046,8.989981500002614,400265,400415,21.5,238018560,96,2239971328,8573157376,63.0,2600Mhz,1000Mhz,
1789755832.3209682,9.455045331000292,400265,400415,25.5,238018560,99,2239971328,8573157376,63.0,2575Mhz,1000Mhz,
1789755832.7909148,9.924992729000223,400265,400415,25.7,238018560,98,2239971328,8573157376,63.0,2620Mhz,1000Mhz,
1789755833.2574408,10.391517657000804,400265,400415,21.2,238018560,99,2239971328,8573157376,63.0,2585Mhz,1000Mhz,
1789755833.728973,10.863049755000247,400265,400415,25.5,238018560,98,2239971328,8573157376,64.0,2625Mhz,1000Mhz,
1789755834.2000036,11.334080417000223,400265,400415,23.9,238018560,99,2239971328,8573157376,63.0,2575Mhz,1000Mhz,
1789755834.660521,11.794598165000934,400265,400415,26.0,238018560,99,2239971328,8573157376,64.0,2565Mhz,1000Mhz,
1789755835.1214375,12.255514838001545,400265,400415,24.8,238018560,99,2239971328,8573157376,64.0,2600Mhz,1000Mhz,
1789755835.6053324,12.739409761001298,400265,400415,25.3,238018560,99,2239971328,8573157376,64.0,2590Mhz,1000Mhz,
1789755836.0788205,13.212897280001926,400265,400415,25.3,238018560,99,2239971328,8573157376,65.0,2580Mhz,1000Mhz,
1789755836.5525608,13.686637883001822,400265,400415,25.7,238018560,99,2239971328,8573157376,64.0,2570Mhz,1000Mhz,
1789755837.020177,14.154254103999847,400265,400415,23.7,238018560,99,2239971328,8573157376,65.0,2570Mhz,1000Mhz,
1789755837.484665,14.618742489001306,400265,400415,23.6,238018560,99,2239971328,8573157376,66.0,2565Mhz,1000Mhz,
1789755837.9492362,15.083312785001908,400265,400415,23.4,238018560,99,2245033984,8573157376,66.0,2580Mhz,1000Mhz,
1789755838.4199197,15.553996402999474,400265,400415,23.4,238018560,99,2245033984,8573157376,66.0,2575Mhz,1000Mhz,
1789755838.8908606,16.0249378840017,400265,400415,25.9,238018560,99,2245033984,8573157376,66.0,2560Mhz,1000Mhz,
1789755839.353896,16.48797327200009,400265,400415,24.9,238018560,99,2245033984,8573157376,66.0,2565Mhz,1000Mhz,
1789755839.8353968,16.96947367699977,400265,400415,27.4,238018560,99,2245033984,8573157376,66.0,2625Mhz,1000Mhz,
1789755840.310459,17.444535727001494,400265,400415,23.7,238018560,98,2242936832,8573157376,66.0,2625Mhz,1000Mhz,
1789755840.7757084,17.909785501000442,400265,400415,21.7,238018560,99,2242936832,8573157376,67.0,2625Mhz,1000Mhz,
1789755841.236198,18.370275099001447,400265,400415,26.4,238018560,99,2242936832,8573157376,66.0,2565Mhz,1000Mhz,
1789755841.6908708,18.824947788001737,400265,400415,25.1,238018560,95,2242936832,8573157376,67.0,2625Mhz,1000Mhz,
1789755842.169142,19.30321863500285,400265,400415,26.5,238018560,99,2242936832,8573157376,67.0,2565Mhz,1000Mhz,
1789755842.6215198,19.755597057999694,400265,400415,23.1,238018560,99,2242936832,8573157376,68.0,2560Mhz,1000Mhz,
1789755843.0973825,20.231459597001958,400265,400415,25.7,238018560,99,2242936832,8573157376,67.0,2560Mhz,1000Mhz,
1789755843.5645924,20.698669613000675,400265,400415,25.5,238018560,94,2242936832,8573157376,67.0,2620Mhz,1000Mhz,
1789755844.034521,21.168598492000456,400265,400415,28.1,238018560,99,2242936832,8573157376,68.0,2570Mhz,1000Mhz,
1789755844.496999,21.631075704000978,400265,400415,23.4,238018560,99,2239971328,8573157376,68.0,2560Mhz,1000Mhz,
1789755844.9663641,22.10044122600084,400265,400415,27.7,238018560,99,2239971328,8573157376,67.0,2580Mhz,1000Mhz,
1789755845.435703,22.569779918001586,400265,400415,24.9,238018560,99,2239971328,8573157376,67.0,2560Mhz,1000Mhz,
1789755845.9177284,23.051805400002195,400265,400415,25.3,238018560,95,2239971328,8573157376,69.0,2620Mhz,1000Mhz,
1789755846.3921142,23.526191061002464,400265,400415,25.8,238018560,99,2239971328,8573157376,67.0,2580Mhz,1000Mhz,
1789755846.8578682,23.99194511099995,400265,400415,28.3,238018560,98,2240069632,8573157376,66.0,2625Mhz,1000Mhz,
