time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789755952.1026003,0.010248190999845974,403110,403279,0.0,235180032,5,2237468672,8573157376,49.0,700Mhz,96Mhz,
1789755952.5568676,0.4645161660009762,403110,403279,0.0,235180032,3,2237468672,8573157376,49.0,700Mhz,96Mhz,
1789755953.0266824,0.9343312029996014,403110,403279,0.0,235180032,4,2237468672,8573157376,49.0,700Mhz,96Mhz,
1789755953.4762366,1.3838854329987953,403110,403279,0.0,235180032,3,2237468672,8573157376,49.0,700Mhz,96Mhz,
1789755953.936293,1.8439418660018418,403110,403279,0.0,235180032,7,2242531328,8573157376,49.0,700Mhz,96Mhz,
1789755954.4344478,2.342096557000332,403110,403279,0.0,235180032,2,2242531328,8573157376,49.0,700Mhz,96Mhz,
1789755954.8968408,2.804489466998348,403110,403279,0.0,235180032,2,2242531328,8573157376,49.0,700Mhz,96Mhz,
1789755955.3659132,3.2735619560007763,403110,403279,0.0,235180032,1,2242531328,8573157376,49.0,700Mhz,96Mhz,
1789755955.8388963,3.7465453110016824,403110,403279,0.0,235180032,3,2242531328,8573157376,49.0,700Mhz,96Mhz,
1789755956.3123732,4.220022222001717,403110,403279,0.0,235180032,3,2242531328,8573157376,49.0,700Mhz,96Mhz,
1789755956.7797916,4.687440211000649,403110,403279,0.0,235180032,1,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755957.244719,5.152367760998459,403110,403279,0.0,235180032,4,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755957.7300735,5.637722182000289,403110,403279,0.0,235180032,4,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755958.2282465,6.1358950630019535,403110,403279,0.0,235180032,2,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755958.7135048,6.621153642001445,403110,403279,0.0,235180032,2,2240434176,8573157376,49.0,700Mhz,96Mhz,
1789755959.186555,7.0942040480003925,403110,403279,16.8,238084096,97,2242412544,8573157376,56.0,2635Mhz,1000Mhz,
1789755959.6637866,7.571435253001255,403110,403279,23.7,238084096,96,2242412544,8573157376,61.0,2610Mhz,1000Mhz,
1789755960.1279843,8.035633464998682,403110,403279,25.6,238084096,99,2242412544,8573157376,62.0,2560Mhz,1000Mhz,
1789755960.5978084,8.505457171999296,403110,403279,23.3,238084096,99,2242936832,8573157376,62.0,2560Mhz,1000Mhz,
1789755961.0700555,8.977704139000707,403110,403279,26.4,238084096,99,2242936832,8573157376,62.0,2565Mhz,1000Mhz,
1789755961.5243711,9.432020304000616,403110,403279,23.9,238084096,99,2242936832,8573157376,64.0,2550Mhz,1000Mhz,
1789755961.9847395,9.892388159998518,403110,403279,25.9,238084096,99,2242936832,8573157376,63.0,2560Mhz,1000Mhz,
1789755962.447577,10.355225975999929,403110,403279,25.4,238084096,98,2242936832,8573157376,63.0,2600Mhz,1000Mhz,
1789755962.9205346,10.828183300000092,403110,403279,23.0,238084096,99,2248003584,8573157376,64.0,2560Mhz,1000Mhz,
1789755963.3995638,11.307212186999095,403110,403279,26.8,238084096,99,2248003584,8573157376,64.0,2575Mhz,1000Mhz,
1789755963.8838763,11.791525655000441,403110,403279,23.9,238084096,94,2248003584,8573157376,64.0,2560Mhz,1000Mhz,
1789755964.343807,12.251456075999158,403110,403279,24.6,238084096,99,2248003584,8573157376,64.0,2560Mhz,1000Mhz,
1789755964.8315063,12.73915491400112,403110,403279,25.5,238084096,99,2245906432,8573157376,64.0,2550Mhz,1000Mhz,
1789755965.3028135,13.210462048999034,403110,403279,23.4,238084096,99,2245906432,8573157376,64.0,2575Mhz,1000Mhz,
1789755965.7734113,13.68106023600194,403110,403279,28.3,238084096,99,2245906432,8573157376,65.0,2555Mhz,1000Mhz,
1789755966.2326672,14.140315879998525,403110,403279,23.6,238084096,99,2245906432,8573157376,65.0,2550Mhz,1000Mhz,
1789755966.6981194,14.605767945999105,403110,403279,23.4,238084096,99,2245906432,8573157376,65.0,2545Mhz,1000Mhz,
1789755967.167824,15.0754737319985,403110,403279,24.3,238084096,99,2245906432,8573157376,65.0,2540Mhz,1000Mhz,
1789755967.6202497,15.527898874999664,403110,403279,25.0,238084096,99,2245906432,8573157376,66.0,2540Mhz,1000Mhz,
1789755968.099548,16.007197064001957,403110,403279,23.5,238084096,99,2242940928,8573157376,65.0,2545Mhz,1000Mhz,
1789755968.5669563,16.47460484399926,403110,403279,23.8,238084096,99,2242940928,8573157376,66.0,2540Mhz,1000Mhz,
1789755969.029683,16.93733152799905,403110,403279,26.0,238084096,96,2242940928,8573157376,66.0,2590Mhz,1000Mhz,
1789755969.4909043,17.398553384999104,403110,403279,25.4,238084096,95,2242940928,8573157376,66.0,2625Mhz,1000Mhz,
