rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.072.812 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.266 W srv  llama_server: -----------------
0.00.073.268 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.268 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.268 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.269 W srv  llama_server: -----------------
0.00.074.564 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.928.262 I cmn          init: llama threadpool init, n_threads = 4
0.01.968.951 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8704, kv_unified = 'false'
0.01.968.994 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.968.995 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.973.887 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.973.922 I srv  llama_server: model loaded
0.01.973.927 I srv  llama_server: listening on http://127.0.0.1:18235
0.10.916.573 I slot get_availabl: id  3 | task -1 | selected slot by id (3)
0.10.916.630 I slot launch_slot_: id  3 | task 2 | processing task, is_child = 0
0.10.916.633 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.10.916.656 I slot launch_slot_: id  1 | task 1 | processing task, is_child = 0
0.10.916.660 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.10.916.691 I slot launch_slot_: id  2 | task 3 | processing task, is_child = 0
0.11.116.533 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.11.116.585 I slot launch_slot_: id  0 | task 5 | processing task, is_child = 0
0.14.000.984 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   1664, progress = 0.20, t =   3.08 s / 539.52 tokens per second
0.14.001.011 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   1664, progress = 0.20, t =   3.08 s / 539.53 tokens per second
0.14.001.034 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   1664, progress = 0.20, t =   3.08 s / 539.53 tokens per second
0.14.251.423 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   1664, progress = 0.20, t =   3.13 s / 530.82 tokens per second
0.14.251.459 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   1792, progress = 0.22, t =   3.33 s / 537.38 tokens per second
0.14.251.485 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   1792, progress = 0.22, t =   3.33 s / 537.39 tokens per second
0.14.251.516 I slot print_timing: id  3 | task 2 | prompt processing, n_tokens =   1792, progress = 0.22, t =   3.33 s / 537.39 tokens per second
0.14.500.871 I slot print_timing: id  0 | task 5 | prompt processing, n_tokens =   1792, progress = 0.22, t =   3.38 s / 529.51 tokens per second
0.14.500.896 I slot print_timing: id  1 | task 1 | prompt processing, n_tokens =   1920, progress = 0.23, t =   3.58 s / 535.69 tokens per second
0.14.500.910 I slot print_timing: id  2 | task 3 | prompt processing, n_tokens =   1920, progress = 0.23, t =   3.58 s / 535.70 tokens per second
