time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789751822.7581413,0.011137485000290326,293801,293946,0.0,236826624,1,2261716992,8573157376,49.0,700Mhz,96Mhz,
1789751823.1886988,0.4416960079997807,293801,293946,0.0,236826624,3,2261716992,8573157376,49.0,700Mhz,96Mhz,
1789751823.6087027,0.8616996420005307,293801,293946,0.0,236826624,4,2261716992,8573157376,49.0,700Mhz,96Mhz,
1789751824.0309896,1.283986262000326,293801,293946,0.0,236826624,5,2261716992,8573157376,49.0,700Mhz,96Mhz,
1789751824.4500797,1.703076895999402,293801,293946,0.0,236826624,2,2264682496,8573157376,49.0,700Mhz,96Mhz,
1789751824.852613,2.1056100339992554,293801,293946,0.0,236826624,3,2264682496,8573157376,49.0,700Mhz,96Mhz,
1789751825.272062,2.525058892000743,293801,293946,0.0,236826624,1,2267648000,8573157376,49.0,700Mhz,96Mhz,
1789751825.714798,2.9677948520002246,293801,293946,0.0,236826624,4,2282475520,8573157376,49.0,700Mhz,96Mhz,
1789751826.141163,3.3941595769993,293801,293946,0.0,236826624,4,2282471424,8573157376,49.0,700Mhz,96Mhz,
1789751826.5688293,3.8218260680005187,293801,293946,0.0,236826624,2,2285436928,8573157376,49.0,700Mhz,96Mhz,
1789751826.999183,4.252179838000302,293801,293946,0.0,236826624,4,2285436928,8573157376,49.0,700Mhz,96Mhz,
1789751827.4301267,4.683124425000642,293801,293946,0.0,236826624,1,2285436928,8573157376,49.0,700Mhz,96Mhz,
1789751827.8469458,5.099942524000653,293801,293946,0.0,236826624,2,2285436928,8573157376,49.0,700Mhz,96Mhz,
1789751828.2653735,5.518370330000835,293801,293946,0.0,236826624,3,2285436928,8573157376,49.0,700Mhz,96Mhz,
1789751828.6919215,5.944918537999911,293801,293946,0.0,236826624,2,2285436928,8573157376,49.0,700Mhz,96Mhz,
1789751829.1195798,6.372576748000938,293801,293946,0.0,236826624,1,2285436928,8573157376,49.0,700Mhz,96Mhz,
1789751829.5437398,6.7967366890006815,293801,293946,12.0,239009792,99,2287415296,8573157376,52.0,2635Mhz,1000Mhz,
1789751829.9601388,7.2131357319995,293801,293946,26.6,239009792,99,2287939584,8573157376,60.0,2585Mhz,1000Mhz,
1789751830.3735445,7.626541331999761,293801,293946,26.1,239009792,99,2287939584,8573157376,61.0,2550Mhz,1000Mhz,
1789751830.7946818,8.047678898999948,293801,293946,28.8,239009792,97,2287939584,8573157376,62.0,2590Mhz,1000Mhz,
1789751831.210573,8.463570306999827,293801,293946,29.0,239009792,99,2287939584,8573157376,62.0,2565Mhz,1000Mhz,
1789751831.6244662,8.87746305300061,293801,293946,28.8,239009792,99,2287939584,8573157376,63.0,2560Mhz,1000Mhz,
1789751832.0411491,9.294146259999252,293801,293946,28.5,239009792,99,2273112064,8573157376,63.0,2560Mhz,1000Mhz,
1789751832.4616668,9.714664139000888,293801,293946,28.4,239009792,95,2267181056,8573157376,64.0,2615Mhz,1000Mhz,
1789751832.8841393,10.137136281000494,293801,293946,28.4,239009792,99,2267181056,8573157376,64.0,2565Mhz,1000Mhz,
1789751833.307081,10.56007794800098,293801,293946,26.3,239009792,98,2267181056,8573157376,64.0,2565Mhz,1000Mhz,
1789751833.7255063,10.97850351499983,293801,293946,27.9,239009792,99,2267181056,8573157376,63.0,2560Mhz,1000Mhz,
1789751834.1554916,11.408488421000584,293801,293946,22.1,239009792,99,2267181056,8573157376,64.0,2570Mhz,1000Mhz,
1789751834.6080494,11.861046432000876,293801,293946,31.1,239009792,99,2267181056,8573157376,64.0,2555Mhz,1000Mhz,
1789751835.0262828,12.279280295999342,293801,293946,26.4,239009792,99,2267181056,8573157376,65.0,2555Mhz,1000Mhz,
1789751835.443294,12.696290855999905,293801,293946,24.1,239009792,99,2267181056,8573157376,65.0,2570Mhz,1000Mhz,
1789751835.8582578,13.111255214000266,293801,293946,24.0,239009792,96,2267181056,8573157376,65.0,2555Mhz,1000Mhz,
1789751836.275369,13.528365836000376,293801,293946,28.9,239009792,99,2264215552,8573157376,65.0,2550Mhz,1000Mhz,
1789751836.6907394,13.943736428000193,293801,293946,29.2,239009792,99,2264215552,8573157376,65.0,2555Mhz,1000Mhz,
1789751837.1020892,14.355086035000568,293801,293946,24.2,239009792,99,2264215552,8573157376,66.0,2540Mhz,1000Mhz,
1789751837.5154924,14.768489324000257,293801,293946,31.5,239009792,99,2264215552,8573157376,66.0,2620Mhz,1000Mhz,
1789751837.9288907,15.181887574000939,293801,293946,24.9,239009792,99,2264215552,8573157376,66.0,2550Mhz,1000Mhz,
1789751838.329676,15.582673012000669,293801,293946,26.4,239009792,98,2264215552,8573157376,66.0,2595Mhz,1000Mhz,
1789751838.7458906,15.998887834000925,293801,293946,29.7,239009792,99,2267181056,8573157376,66.0,2530Mhz,1000Mhz,
1789751839.149408,16.402404762000515,293801,293946,25.8,239009792,99,2267181056,8573157376,66.0,2555Mhz,1000Mhz,
1789751839.575627,16.828623797000546,293801,293946,30.5,239009792,99,2267181056,8573157376,66.0,2620Mhz,1000Mhz,
1789751840.001716,17.254712919000667,293801,293946,28.9,239009792,99,2267181056,8573157376,67.0,2535Mhz,1000Mhz,
1789751840.417219,17.670216103000712,293801,293946,26.0,239009792,97,2267181056,8573157376,67.0,2590Mhz,1000Mhz,
1789751840.8406076,18.093604514999242,293801,293946,26.4,239009792,99,2267181056,8573157376,67.0,2535Mhz,1000Mhz,
1789751841.2565596,18.509556332999637,293801,293946,28.8,239009792,99,2267181056,8573157376,67.0,2620Mhz,1000Mhz,
1789751841.6727872,18.92578375499943,293801,293946,26.6,239009792,99,2267181056,8573157376,67.0,2540Mhz,1000Mhz,
1789751842.0866833,19.3396801100007,293801,293946,23.2,239009792,99,2267181056,8573157376,68.0,2540Mhz,1000Mhz,
1789751842.5179842,19.770981052000934,293801,293946,29.2,239009792,94,2267181056,8573157376,68.0,2595Mhz,1000Mhz,
1789751842.9291093,20.18210605599961,293801,293946,24.0,239009792,98,2267181056,8573157376,67.0,2620Mhz,1000Mhz,
1789751843.345182,20.598178906000612,293801,293946,33.4,239009792,99,2267279360,8573157376,68.0,2545Mhz,1000Mhz,
1789751843.7649126,21.01790942700063,293801,293946,55.9,384679936,7,2267283456,8573157376,60.0,700Mhz,96Mhz,
1789751844.1942148,21.44721211599972,293801,293946,52.7,384790528,89,2267283456,8573157376,64.0,2630Mhz,1000Mhz,
1789751844.6115587,21.86455571999977,293801,293946,58.8,384790528,77,2267283456,8573157376,64.0,2630Mhz,1000Mhz,
1789751845.0370286,22.29002527600096,293801,293946,52.8,384790528,87,2267283456,8573157376,66.0,2630Mhz,1000Mhz,
1789751845.4538846,22.706881604000955,293801,293946,55.4,384790528,91,2267283456,8573157376,66.0,2630Mhz,1000Mhz,
1789751845.887101,23.140097337000043,293801,293946,54.3,384790528,90,2267283456,8573157376,65.0,2630Mhz,1000Mhz,
1789751846.3103104,23.56330767700092,293801,293946,55.5,384790528,73,2267283456,8573157376,66.0,2630Mhz,1000Mhz,
1789751846.7425914,23.995588099000088,293801,293946,55.8,384790528,84,2267283456,8573157376,65.0,2630Mhz,1000Mhz,
1789751847.1726134,24.42561005599964,293801,293946,59.4,384790528,79,2267283456,8573157376,65.0,2630Mhz,1000Mhz,
1789751847.6101716,24.86316842800079,293801,293946,55.3,384790528,76,2267283456,8573157376,64.0,2630Mhz,1000Mhz,
1789751848.0440795,25.297076539000045,293801,293946,57.7,384790528,82,2267283456,8573157376,65.0,2630Mhz,1000Mhz,
1789751848.4774637,25.73046099400017,293801,293946,54.9,384790528,93,2267283456,8573157376,66.0,2630Mhz,1000Mhz,
1789751848.8962555,26.14925257499999,293801,293946,55.9,384790528,82,2267283456,8573157376,66.0,2630Mhz,1000Mhz,
1789751849.3252501,26.578246810000564,293801,293946,56.5,384790528,85,2267283456,8573157376,65.0,2630Mhz,1000Mhz,
1789751849.750094,27.003090558999247,293801,293946,52.4,384790528,80,2267283456,8573157376,66.0,2630Mhz,1000Mhz,
1789751850.1699953,27.422991982000894,293801,293946,56.5,384790528,89,2267283456,8573157376,66.0,2620Mhz,1000Mhz,
1789751850.5946274,27.847624169000483,293801,293946,54.1,384790528,83,2267283456,8573157376,65.0,2620Mhz,1000Mhz,
1789751851.0200558,28.27305278499989,293801,293946,54.0,384790528,92,2267283456,8573157376,65.0,2620Mhz,1000Mhz,
1789751851.4826865,28.735683069000515,293801,293946,47.8,384790528,86,2267283456,8573157376,65.0,2625Mhz,1000Mhz,
1789751851.9010158,29.154012573999353,293801,293946,55.0,384790528,84,2267283456,8573157376,66.0,2625Mhz,1000Mhz,
1789751852.337036,29.59003236799981,293801,293946,57.1,384790528,90,2267283456,8573157376,66.0,2625Mhz,1000Mhz,
1789751852.7573853,30.010382276999735,293801,293946,59.1,384790528,72,2267283456,8573157376,66.0,2625Mhz,1000Mhz,
1789751853.1805105,30.433507207999355,293801,293946,57.2,384790528,86,2267283456,8573157376,66.0,2625Mhz,1000Mhz,
