rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.072.609 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.210 W srv  llama_server: -----------------
0.00.073.212 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.212 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.213 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.213 W srv  llama_server: -----------------
0.00.074.576 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.908.027 I cmn          init: llama threadpool init, n_threads = 4
0.01.948.845 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.948.894 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.948.895 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.953.848 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.953.889 I srv  llama_server: model loaded
0.01.953.899 I srv  llama_server: listening on http://127.0.0.1:18233
0.10.447.804 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.10.447.857 I slot launch_slot_: id  2 | task 1 | processing task, is_child = 0
0.10.467.092 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.10.467.130 I slot launch_slot_: id  1 | task 3 | processing task, is_child = 0
0.10.467.133 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.10.467.151 I slot launch_slot_: id  0 | task 4 | processing task, is_child = 0
0.13.646.406 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.18 s / 644.18 tokens per second
0.13.646.445 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.18 s / 644.19 tokens per second
0.13.646.472 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.20 s / 680.32 tokens per second
0.13.850.378 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.38 s / 643.18 tokens per second
0.13.850.412 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.38 s / 643.19 tokens per second
0.13.850.434 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.40 s / 677.16 tokens per second
0.14.058.003 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.59 s / 641.64 tokens per second
0.14.058.029 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.59 s / 641.64 tokens per second
0.14.058.045 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.61 s / 673.67 tokens per second
0.14.261.807 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.79 s / 640.91 tokens per second
0.14.261.825 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.79 s / 640.91 tokens per second
0.14.261.835 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.81 s / 671.23 tokens per second
0.14.471.828 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2560, progress = 0.31, t =   4.00 s / 639.26 tokens per second
0.14.471.884 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2560, progress = 0.31, t =   4.00 s / 639.27 tokens per second
0.14.471.923 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.02 s / 668.01 tokens per second
0.14.678.422 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.21 s / 638.29 tokens per second
0.14.678.456 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.21 s / 638.30 tokens per second
0.14.678.477 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.23 s / 665.64 tokens per second
0.14.887.862 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.42 s / 637.01 tokens per second
0.14.887.900 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2816, progress = 0.34, t =   4.42 s / 637.01 tokens per second
0.14.887.923 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.44 s / 663.07 tokens per second
0.15.096.242 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.63 s / 635.98 tokens per second
0.15.096.274 I slot print_timing: id  1 | task 3 | prompt processing, n_tokens =   2944, progress = 0.36, t =   4.63 s / 635.99 tokens per second
0.15.096.297 I slot print_timing: id  2 | task 1 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.65 s / 660.88 tokens per second
0.15.308.347 I slot print_timing: id  0 | task 4 | prompt processing, n_tokens =   3072, progress = 0.38, t =   4.84 s / 634.56 tokens per second
