time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789774380.7811317,0.011163000999658834,577124,577292,0.0,236892160,1,2261344256,8573157376,49.0,700Mhz,96Mhz,
1789774381.2088008,0.4388327630003914,577124,577292,0.0,236892160,4,2261344256,8573157376,49.0,700Mhz,96Mhz,
1789774381.6319911,0.8620231309978408,577124,577292,0.0,236892160,4,2261344256,8573157376,49.0,700Mhz,96Mhz,
1789774382.058152,1.2881840179979918,577124,577292,0.0,236892160,3,2261344256,8573157376,49.0,700Mhz,96Mhz,
1789774382.4828844,1.7129164209982264,577124,577292,0.0,236892160,4,2261344256,8573157376,49.0,700Mhz,96Mhz,
1789774382.9121027,2.142134629000793,577124,577292,0.0,236892160,2,2261344256,8573157376,49.0,700Mhz,96Mhz,
1789774383.3498719,2.5799037019969546,577124,577292,0.0,236892160,2,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774383.77002,3.0000522789996467,577124,577292,0.0,236892160,7,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774384.2024162,3.432447888000752,577124,577292,0.0,236892160,4,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774384.6106343,3.840666557000077,577124,577292,0.0,236892160,3,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774385.0286403,4.258672203999595,577124,577292,0.0,236892160,1,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774385.4528027,4.682834500999888,577124,577292,0.0,236892160,2,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774385.8604004,5.090432584001974,577124,577292,0.0,236892160,5,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774386.2731678,5.50319978799962,577124,577292,0.0,236892160,3,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774386.6920807,5.922112612999626,577124,577292,0.0,236892160,3,2259247104,8573157376,49.0,700Mhz,96Mhz,
1789774387.1078138,6.33784633599862,577124,577292,0.0,236892160,1,2267275264,8573157376,49.0,700Mhz,96Mhz,
1789774387.535489,6.76552090900077,577124,577292,16.9,239136768,99,2269253632,8573157376,55.0,2635Mhz,1000Mhz,
1789774387.949635,7.179667206000886,577124,577292,26.6,239136768,98,2269777920,8573157376,61.0,2565Mhz,1000Mhz,
1789774388.3630996,7.593131597001047,577124,577292,29.6,239136768,99,2269777920,8573157376,61.0,2545Mhz,1000Mhz,
1789774388.8020253,8.032057092001196,577124,577292,26.5,239136768,99,2269777920,8573157376,61.0,2540Mhz,1000Mhz,
1789774389.217243,8.447274469996046,577124,577292,28.9,239136768,95,2269777920,8573157376,62.0,2610Mhz,1000Mhz,
1789774389.6327922,8.8628247020024,577124,577292,24.5,239136768,94,2269777920,8573157376,61.0,2625Mhz,1000Mhz,
1789774390.0406148,9.270646956996643,577124,577292,31.0,239136768,97,2269777920,8573157376,62.0,2625Mhz,1000Mhz,
1789774390.4606194,9.690651872995659,577124,577292,26.9,239136768,98,2269777920,8573157376,63.0,2625Mhz,1000Mhz,
1789774390.8701,10.100132004001352,577124,577292,26.0,239136768,99,2269777920,8573157376,63.0,2600Mhz,1000Mhz,
1789774391.2928054,10.522837377000542,577124,577292,26.4,239136768,99,2267680768,8573157376,64.0,2545Mhz,1000Mhz,
1789774391.7087345,10.938766343002499,577124,577292,29.5,239136768,99,2267680768,8573157376,63.0,2575Mhz,1000Mhz,
1789774392.1160765,11.346108352998272,577124,577292,29.1,239136768,99,2267680768,8573157376,64.0,2605Mhz,1000Mhz,
1789774392.5277975,11.757829356000002,577124,577292,24.5,239136768,96,2267680768,8573157376,63.0,2620Mhz,1000Mhz,
1789774392.9361222,12.166153956000926,577124,577292,27.0,239136768,99,2261749760,8573157376,64.0,2575Mhz,1000Mhz,
1789774393.3798919,12.609924288997718,577124,577292,26.3,239136768,99,2261749760,8573157376,65.0,2605Mhz,1000Mhz,
1789774393.7980523,13.028084805999242,577124,577292,26.6,239136768,98,2261749760,8573157376,65.0,2620Mhz,1000Mhz,
1789774394.2123773,13.442409395996947,577124,577292,26.5,239136768,99,2261749760,8573157376,65.0,2535Mhz,1000Mhz,
1789774394.6282213,13.858253510996292,577124,577292,26.5,239136768,99,2261749760,8573157376,65.0,2535Mhz,1000Mhz,
1789774395.0432093,14.27324078699894,577124,577292,26.3,239136768,98,2261749760,8573157376,65.0,2545Mhz,1000Mhz,
1789774395.4607773,14.6908092090016,577124,577292,25.1,239136768,95,2261749760,8573157376,66.0,2595Mhz,1000Mhz,
