time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789774006.2862604,0.010537608999584336,565849,566035,0.0,238272512,3,2277031936,8573157376,49.0,700Mhz,96Mhz,
1789774006.7020733,0.426351389993215,565849,566035,0.0,238272512,5,2277031936,8573157376,49.0,700Mhz,96Mhz,
1789774007.1146429,0.8389209319939255,565849,566035,0.0,238272512,7,2277031936,8573157376,50.0,700Mhz,96Mhz,
1789774007.5505183,1.27479654099443,565849,566035,0.0,238272512,3,2277031936,8573157376,49.0,700Mhz,96Mhz,
1789774007.9740949,1.698372874998313,565849,566035,0.0,238272512,7,2277031936,8573157376,49.0,700Mhz,96Mhz,
1789774008.3933854,2.1176633699942613,565849,566035,0.0,238272512,3,2256273408,8573157376,49.0,700Mhz,96Mhz,
1789774008.815646,2.539924101998622,565849,566035,0.0,238272512,6,2256273408,8573157376,49.0,700Mhz,96Mhz,
1789774009.2406745,2.964952418995381,565849,566035,0.0,238272512,2,2256273408,8573157376,49.0,700Mhz,96Mhz,
1789774009.665538,3.389816235998296,565849,566035,0.0,238272512,3,2256273408,8573157376,49.0,700Mhz,96Mhz,
1789774010.0786395,3.802917481996701,565849,566035,0.0,238272512,6,2256273408,8573157376,49.0,700Mhz,96Mhz,
1789774010.501219,4.22549721699761,565849,566035,0.0,238272512,5,2256273408,8573157376,49.0,700Mhz,96Mhz,
1789774010.943258,4.667536343993561,565849,566035,0.0,238272512,8,2261340160,8573157376,49.0,700Mhz,96Mhz,
1789774011.3842103,5.108488969999598,565849,566035,0.0,238272512,4,2261340160,8573157376,49.0,700Mhz,96Mhz,
1789774011.810915,5.535192923998693,565849,566035,0.0,238272512,5,2261340160,8573157376,49.0,700Mhz,96Mhz,
1789774012.2425344,5.966812542996195,565849,566035,0.0,238272512,3,2261340160,8573157376,49.0,700Mhz,96Mhz,
1789774012.6665454,6.390823260997422,565849,566035,0.0,238272512,4,2261340160,8573157376,49.0,700Mhz,96Mhz,
1789774013.102207,6.826484867997351,565849,566035,22.1,240447488,97,2261716992,8573157376,57.0,2635Mhz,1000Mhz,
1789774013.509713,7.233991132998199,565849,566035,27.2,240447488,97,2261716992,8573157376,60.0,2630Mhz,1000Mhz,
1789774013.9138837,7.638161595998099,565849,566035,28.8,240447488,99,2261716992,8573157376,61.0,2530Mhz,1000Mhz,
1789774014.3312292,8.055507072000182,565849,566035,25.8,240447488,97,2261716992,8573157376,62.0,2570Mhz,1000Mhz,
1789774014.7575092,8.481786850999924,565849,566035,25.8,240447488,99,2261716992,8573157376,62.0,2535Mhz,1000Mhz,
1789774015.1843789,8.908657265994407,565849,566035,27.8,240447488,98,2261716992,8573157376,62.0,2565Mhz,1000Mhz,
1789774015.616037,9.340314845998364,565849,566035,23.8,240447488,99,2261716992,8573157376,62.0,2540Mhz,1000Mhz,
1789774016.0370276,9.761306335996778,565849,566035,26.8,240447488,99,2261716992,8573157376,63.0,2525Mhz,1000Mhz,
1789774016.447601,10.17187906899926,565849,566035,31.7,240447488,99,2261716992,8573157376,63.0,2540Mhz,1000Mhz,
1789774016.858113,10.582391370997357,565849,566035,26.4,240447488,99,2261716992,8573157376,63.0,2535Mhz,1000Mhz,
1789774017.2748196,10.999097251995408,565849,566035,26.7,240447488,99,2261716992,8573157376,64.0,2545Mhz,1000Mhz,
1789774017.6873264,11.41160458199738,565849,566035,26.3,240447488,99,2261716992,8573157376,63.0,2520Mhz,1000Mhz,
1789774018.105397,11.829674984997837,565849,566035,28.2,240447488,99,2261716992,8573157376,63.0,2530Mhz,1000Mhz,
1789774018.5308864,12.25516409699776,565849,566035,26.4,240447488,99,2261716992,8573157376,64.0,2520Mhz,1000Mhz,
1789774018.9470408,12.671319051994942,565849,566035,26.9,240447488,99,2261716992,8573157376,64.0,2520Mhz,1000Mhz,
1789774019.3559058,13.080183828998997,565849,566035,25.8,240447488,91,2261716992,8573157376,63.0,2625Mhz,1000Mhz,
1789774019.7825732,13.506850871999632,565849,566035,25.9,240447488,96,2261716992,8573157376,65.0,2580Mhz,1000Mhz,
1789774020.2066016,13.93087992099754,565849,566035,23.4,240447488,99,2261716992,8573157376,64.0,2530Mhz,1000Mhz,
1789774020.6332645,14.357542953999655,565849,566035,26.2,240447488,99,2261716992,8573157376,65.0,2520Mhz,1000Mhz,
1789774021.0534613,14.777739585995732,565849,566035,28.3,240447488,99,2261716992,8573157376,65.0,2535Mhz,1000Mhz,
1789774021.477207,15.20148489199346,565849,566035,24.4,240447488,99,2261716992,8573157376,65.0,2540Mhz,1000Mhz,
1789774021.88621,15.61048782999569,565849,566035,29.1,240447488,97,2258751488,8573157376,65.0,2620Mhz,1000Mhz,
1789774022.2990158,16.02329361399461,565849,566035,25.4,240447488,99,2263814144,8573157376,65.0,2530Mhz,1000Mhz,
1789774022.7318733,16.45615133499814,565849,566035,31.1,240447488,99,2263814144,8573157376,66.0,2530Mhz,1000Mhz,
1789774023.149519,16.873796853993554,565849,566035,28.8,240447488,99,2263814144,8573157376,66.0,2530Mhz,1000Mhz,
1789774023.566718,17.290996558993356,565849,566035,27.4,240447488,99,2263814144,8573157376,65.0,2520Mhz,1000Mhz,
1789774024.0052145,17.72949326199887,565849,566035,25.1,240447488,95,2261716992,8573157376,66.0,2500Mhz,1000Mhz,
1789774024.4428937,18.16717189799965,565849,566035,33.7,240447488,97,2266337280,8573157376,66.0,2625Mhz,1000Mhz,
1789774024.857892,18.58217005199549,565849,566035,29.2,240447488,99,2266337280,8573157376,66.0,2525Mhz,1000Mhz,
1789774025.2686856,18.992963256998337,565849,566035,26.2,240447488,99,2266337280,8573157376,67.0,2515Mhz,1000Mhz,
1789774025.688768,19.41304626899364,565849,566035,26.7,240447488,99,2266337280,8573157376,67.0,2505Mhz,1000Mhz,
1789774026.1012073,19.825485678993573,565849,566035,25.9,240447488,93,2266337280,8573157376,67.0,2625Mhz,1000Mhz,
1789774026.5259001,20.250178013993718,565849,566035,29.5,240447488,98,2266337280,8573157376,67.0,2545Mhz,1000Mhz,
1789774026.9327502,20.657028231995355,565849,566035,43.2,314351616,6,2266435584,8573157376,64.0,700Mhz,541Mhz,
1789774027.3489754,21.073252957998193,565849,566035,55.2,386228224,77,2266439680,8573157376,63.0,2625Mhz,1000Mhz,
1789774027.7838752,21.508152837996022,565849,566035,57.4,386228224,79,2266439680,8573157376,65.0,2625Mhz,1000Mhz,
1789774028.2024949,21.926772885999526,565849,566035,56.1,386228224,81,2261819392,8573157376,65.0,2625Mhz,1000Mhz,
1789774028.6304646,22.35474253099528,565849,566035,59.2,386228224,88,2261819392,8573157376,64.0,2625Mhz,1000Mhz,
1789774029.0693989,22.7936771389941,565849,566035,52.4,386228224,91,2261819392,8573157376,64.0,2625Mhz,1000Mhz,
1789774029.489569,23.213846890997957,565849,566035,58.5,386228224,76,2261819392,8573157376,65.0,2625Mhz,1000Mhz,
1789774029.9169843,23.641262240998913,565849,566035,59.1,386228224,85,2261819392,8573157376,64.0,2625Mhz,1000Mhz,
