time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789774224.7382007,0.010716370001318865,572571,572739,0.0,236785664,1,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774225.1754906,0.44800703200598946,572571,572739,0.0,236785664,3,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774225.5980837,0.8705998470031773,572571,572739,0.0,236785664,5,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774226.0239906,1.296506713006238,572571,572739,0.0,236785664,0,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774226.4563043,1.7288204490032513,572571,572739,0.0,236785664,1,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774226.8840172,2.156533061999653,572571,572739,0.0,236785664,4,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774227.3083339,2.58084975300153,572571,572739,0.0,236785664,3,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774227.7427466,3.015262728004018,572571,572739,0.0,236785664,1,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774228.156609,3.4291252620023442,572571,572739,0.0,236785664,1,2259243008,8573157376,49.0,700Mhz,96Mhz,
1789774228.5558932,3.8284092790054274,572571,572739,0.0,236785664,2,2256277504,8573157376,49.0,700Mhz,96Mhz,
1789774228.972872,4.245387912000297,572571,572739,0.0,236785664,2,2256277504,8573157376,49.0,700Mhz,96Mhz,
1789774229.405761,4.678277343002264,572571,572739,0.0,236785664,0,2256277504,8573157376,49.0,700Mhz,96Mhz,
1789774229.8082733,5.080789391002327,572571,572739,0.0,236785664,2,2256277504,8573157376,49.0,700Mhz,96Mhz,
1789774230.234216,5.506732087000273,572571,572739,0.0,236785664,1,2256277504,8573157376,49.0,700Mhz,96Mhz,
1789774230.6694899,5.942006081000727,572571,572739,0.0,236785664,8,2261340160,8573157376,49.0,700Mhz,96Mhz,
1789774231.0906525,6.363169442003709,572571,572739,0.0,236785664,3,2261340160,8573157376,49.0,700Mhz,96Mhz,
1789774231.5216765,6.794192789006047,572571,572739,7.3,238989312,73,2263318528,8573157376,49.0,2460Mhz,541Mhz,
1789774231.9298959,7.202412058002665,572571,572739,27.3,239026176,99,2281635840,8573157376,60.0,2530Mhz,1000Mhz,
1789774232.3323455,7.604861820000224,572571,572739,30.0,239026176,98,2281631744,8573157376,61.0,2560Mhz,1000Mhz,
1789774232.766432,8.038948256005824,572571,572739,23.4,239026176,99,2283728896,8573157376,62.0,2565Mhz,1000Mhz,
1789774233.237319,8.509834768003202,572571,572739,25.9,239026176,90,2283728896,8573157376,62.0,2625Mhz,1000Mhz,
1789774233.6612637,8.93377984300605,572571,572739,29.8,239026176,98,2283728896,8573157376,62.0,2540Mhz,1000Mhz,
1789774234.0641394,9.33665531900624,572571,572739,22.9,239026176,99,2283728896,8573157376,62.0,2520Mhz,1000Mhz,
1789774234.5014625,9.773978627003089,572571,572739,27.1,239026176,96,2283728896,8573157376,62.0,2565Mhz,1000Mhz,
1789774234.9077039,10.18021996600146,572571,572739,28.6,239026176,97,2281631744,8573157376,63.0,2555Mhz,1000Mhz,
1789774235.326514,10.599030250006763,572571,572739,28.5,239026176,97,2281631744,8573157376,63.0,2570Mhz,1000Mhz,
