time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789773069.4307132,0.010760500001197215,548286,548454,0.0,237985792,7,2260209664,8573157376,48.0,700Mhz,96Mhz,
1789773069.8685975,0.44864593999955105,548286,548454,0.0,237985792,4,2260209664,8573157376,48.0,700Mhz,96Mhz,
1789773070.3091612,0.8892091750021791,548286,548454,0.0,237985792,4,2260209664,8573157376,48.0,700Mhz,96Mhz,
1789773070.7247076,1.3047559679980623,548286,548454,0.0,237985792,1,2260209664,8573157376,48.0,700Mhz,96Mhz,
1789773071.1386068,1.7186551160048111,548286,548454,0.0,237985792,1,2260209664,8573157376,48.0,700Mhz,96Mhz,
1789773071.5594456,2.139493538001261,548286,548454,0.0,237985792,3,2260209664,8573157376,48.0,700Mhz,96Mhz,
1789773071.9698043,2.549852483003633,548286,548454,0.0,237985792,2,2257244160,8573157376,48.0,700Mhz,96Mhz,
1789773072.3901982,2.9702466009985073,548286,548454,0.0,237985792,2,2257244160,8573157376,48.0,700Mhz,96Mhz,
1789773072.8495939,3.429641620001348,548286,548454,0.0,237985792,1,2257244160,8573157376,48.0,700Mhz,96Mhz,
1789773073.2568362,3.8368840359980823,548286,548454,0.0,237985792,3,2257244160,8573157376,48.0,700Mhz,96Mhz,
1789773073.6766906,4.256739028998709,548286,548454,0.0,237985792,2,2261864448,8573157376,48.0,700Mhz,96Mhz,
1789773074.092384,4.672432234001462,548286,548454,0.0,237985792,2,2263961600,8573157376,47.0,700Mhz,96Mhz,
1789773074.50803,5.08807796700421,548286,548454,0.0,237985792,3,2263961600,8573157376,48.0,700Mhz,96Mhz,
1789773074.927585,5.507633207998879,548286,548454,0.0,237985792,6,2263961600,8573157376,48.0,700Mhz,96Mhz,
1789773075.3436115,5.923659644999134,548286,548454,0.0,237985792,3,2263961600,8573157376,48.0,700Mhz,96Mhz,
1789773075.770249,6.350296910997713,548286,548454,0.0,237985792,1,2263961600,8573157376,48.0,700Mhz,96Mhz,
1789773076.209468,6.789516322998679,548286,548454,9.6,240222208,75,2265939968,8573157376,52.0,2639Mhz,1000Mhz,
1789773076.6268792,7.2069275329995435,548286,548454,16.7,240222208,80,2266464256,8573157376,58.0,2630Mhz,1000Mhz,
1789773077.045229,7.625277273000393,548286,548454,16.2,240222208,99,2266464256,8573157376,60.0,2630Mhz,1000Mhz,
1789773077.4762127,8.056260759003635,548286,548454,14.0,240222208,97,2261843968,8573157376,59.0,2625Mhz,1000Mhz,
1789773077.9044192,8.484467159003543,548286,548454,9.4,240222208,96,2261843968,8573157376,61.0,2630Mhz,1000Mhz,
1789773078.3296459,8.909694551999564,548286,548454,16.4,240222208,80,2259746816,8573157376,61.0,2630Mhz,1000Mhz,
1789773078.756947,9.336995114004822,548286,548454,14.7,240222208,99,2261839872,8573157376,61.0,2630Mhz,1000Mhz,
1789773079.1665618,9.74660975200095,548286,548454,12.4,240222208,96,2261839872,8573157376,61.0,2630Mhz,1000Mhz,
1789773079.5703244,10.15037304499856,548286,548454,14.1,240222208,99,2261839872,8573157376,60.0,2630Mhz,1000Mhz,
1789773079.995416,10.575463756998943,548286,548454,13.9,240222208,98,2261839872,8573157376,61.0,2630Mhz,1000Mhz,
1789773080.4257338,11.005782346997876,548286,548454,16.7,240222208,48,2261839872,8573157376,61.0,2630Mhz,1000Mhz,
