time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789772946.0861118,0.014770597001188435,545807,545995,0.0,237977600,1,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772946.5247493,0.45340824400045676,545807,545995,0.0,237977600,3,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772946.9483924,0.8770520819962258,545807,545995,0.0,237977600,2,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772947.3866794,1.3153385359983076,545807,545995,0.0,237977600,2,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772947.8029737,1.7316329559980659,545807,545995,0.0,237977600,3,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772948.2137375,2.1423965849971864,545807,545995,0.0,237977600,3,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772948.6188004,2.5474600099987583,545807,545995,0.0,237977600,2,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772949.0493374,2.9779970520030474,545807,545995,0.0,237977600,2,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772949.4760587,3.4047176890017,545807,545995,0.0,237977600,3,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772949.8885448,3.817204763996415,545807,545995,0.0,237977600,3,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772950.2979808,4.22663995000039,545807,545995,0.0,237977600,5,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772950.7238421,4.652501459000632,545807,545995,0.0,237977600,3,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772951.1357913,5.064450368001417,545807,545995,0.0,237977600,3,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772951.6008472,5.529506769998989,545807,545995,0.0,237977600,2,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772952.026738,5.955397188998177,545807,545995,0.0,237977600,0,2262233088,8573157376,41.0,700Mhz,96Mhz,
1789772952.4503555,6.379014557001938,545807,545995,0.0,237977600,2,2264330240,8573157376,41.0,700Mhz,96Mhz,
1789772952.8734078,6.802066698997805,545807,545995,9.8,240222208,99,2266279936,8573157376,44.0,2639Mhz,1000Mhz,
1789772953.2806005,7.209259825001936,545807,545995,29.2,240222208,98,2266804224,8573157376,53.0,2560Mhz,1000Mhz,
1789772953.6912346,7.6198933420018875,545807,545995,27.0,240222208,99,2266804224,8573157376,53.0,2545Mhz,1000Mhz,
1789772954.0989153,8.02757456299878,545807,545995,24.0,240222208,98,2266804224,8573157376,54.0,2570Mhz,1000Mhz,
1789772954.5145922,8.443251176999183,545807,545995,29.3,240222208,99,2266804224,8573157376,55.0,2555Mhz,1000Mhz,
1789772954.9242678,8.8529271649968,545807,545995,21.6,240222208,99,2264707072,8573157376,55.0,2555Mhz,1000Mhz,
1789772955.3403049,9.268964123002661,545807,545995,27.8,240222208,97,2264707072,8573157376,55.0,2630Mhz,1000Mhz,
1789772955.7796364,9.708295785996597,545807,545995,25.4,240222208,99,2264707072,8573157376,55.0,2570Mhz,1000Mhz,
1789772956.2040305,10.132689650999964,545807,545995,28.8,240222208,99,2264707072,8573157376,55.0,2555Mhz,1000Mhz,
1789772956.6208408,10.54950001600082,545807,545995,24.0,240222208,96,2261741568,8573157376,56.0,2560Mhz,1000Mhz,
1789772957.0368981,10.965557573996193,545807,545995,30.1,240222208,98,2261741568,8573157376,57.0,2580Mhz,1000Mhz,
1789772957.4683247,11.396984353996231,545807,545995,27.2,240222208,97,2261741568,8573157376,56.0,2565Mhz,1000Mhz,
1789772957.872395,11.801054110001132,545807,545995,26.9,240222208,99,2261741568,8573157376,58.0,2525Mhz,1000Mhz,
1789772958.2808902,12.209549587998481,545807,545995,29.7,240222208,97,2261741568,8573157376,57.0,2570Mhz,1000Mhz,
1789772958.717907,12.646566039999016,545807,545995,26.6,240222208,89,2263838720,8573157376,57.0,2630Mhz,1000Mhz,
1789772959.131723,13.060382286996173,545807,545995,29.4,240222208,99,2263838720,8573157376,58.0,2535Mhz,1000Mhz,
1789772959.540259,13.468918095000845,545807,545995,31.5,240222208,99,2263838720,8573157376,58.0,2625Mhz,1000Mhz,
1789772959.9533956,13.882054806002998,545807,545995,25.2,240222208,98,2263838720,8573157376,58.0,2630Mhz,1000Mhz,
1789772960.3502824,14.278941336000571,545807,545995,32.0,240222208,99,2263838720,8573157376,58.0,2545Mhz,1000Mhz,
1789772960.7563372,14.684996201001923,545807,545995,25.7,240222208,97,2261741568,8573157376,59.0,2575Mhz,1000Mhz,
1789772961.184074,15.112733216999914,545807,545995,24.0,240222208,99,2263838720,8573157376,59.0,2550Mhz,1000Mhz,
1789772961.6001205,15.528779893997125,545807,545995,28.7,240222208,99,2263838720,8573157376,59.0,2545Mhz,1000Mhz,
1789772962.0187285,15.94738774599682,545807,545995,25.0,240222208,94,2263838720,8573157376,60.0,2630Mhz,1000Mhz,
1789772962.4587538,16.387412716001563,545807,545995,26.1,240222208,99,2263838720,8573157376,59.0,2530Mhz,1000Mhz,
1789772962.8809772,16.809636580001097,545807,545995,25.7,240222208,99,2263838720,8573157376,59.0,2630Mhz,1000Mhz,
