time_unix,elapsed_s,pid,sampler_pid,cpu_percent,rss_bytes,gpu_busy_percent,vram_used_bytes,vram_total_bytes,temp_edge_c,sclk,mclk,smi_error
1789610040.8927522,0.01584147899848176,188112,188523,0.0,1283489792,3,7394639872,8573157376,49.0,700Mhz,96Mhz,
1789610041.3252316,0.44832231599866645,188112,188523,0.0,1283489792,1,7394639872,8573157376,49.0,700Mhz,96Mhz,
1789610041.752284,0.8753739219973795,188112,188523,0.0,1283489792,5,7392542720,8573157376,49.0,700Mhz,96Mhz,
1789610042.1727307,1.295820734994777,188112,188523,0.0,1283489792,3,7392542720,8573157376,49.0,700Mhz,96Mhz,
1789610042.5901427,1.7132331719985814,188112,188523,0.0,1283489792,4,7392542720,8573157376,49.0,700Mhz,96Mhz,
1789610043.0115187,2.134608734995709,188112,188523,0.0,1283489792,3,7392542720,8573157376,49.0,700Mhz,96Mhz,
1789610043.428989,2.552078723994782,188112,188523,0.0,1283489792,2,7392542720,8573157376,49.0,700Mhz,96Mhz,
1789610043.8518438,2.9749340630005463,188112,188523,0.0,1283489792,4,7392542720,8573157376,49.0,700Mhz,96Mhz,
1789610044.2713168,3.3944066039985046,188112,188523,0.0,1283489792,5,7392542720,8573157376,49.0,800Mhz,96Mhz,
1789610044.7048335,3.8279237230017316,188112,188523,0.0,1283489792,4,7399702528,8573157376,49.0,800Mhz,96Mhz,
1789610045.1191328,4.242223025998101,188112,188523,0.0,1283489792,2,7399702528,8573157376,49.0,800Mhz,96Mhz,
1789610045.531848,4.654938000996481,188112,188523,0.0,1283489792,3,7399702528,8573157376,49.0,800Mhz,96Mhz,
1789610045.9514184,5.074508332996629,188112,188523,0.0,1283489792,4,7397605376,8573157376,49.0,800Mhz,96Mhz,
1789610046.3815372,5.504627083995729,188112,188523,0.0,1283489792,2,7397605376,8573157376,49.0,800Mhz,96Mhz,
1789610046.8249912,5.948081274997094,188112,188523,0.0,1283489792,2,7395508224,8573157376,49.0,800Mhz,96Mhz,
1789610047.251611,6.374700685999414,188112,188523,0.0,1283489792,4,7395508224,8573157376,49.0,800Mhz,96Mhz,
1789610047.687851,6.8109410159959225,188112,188523,0.0,1283489792,5,7395508224,8573157376,49.0,800Mhz,96Mhz,
1789610048.1170545,7.240144497001893,188112,188523,0.0,1283489792,6,7395508224,8573157376,49.0,800Mhz,96Mhz,
1789610048.5537283,7.676818791995174,188112,188523,0.0,1283489792,3,7397605376,8573157376,49.0,800Mhz,96Mhz,
1789610048.9636054,8.086695854995924,188112,188523,11.6,1284128768,99,7410712576,8573157376,55.0,2639Mhz,1000Mhz,
1789610049.4623373,8.5854274480007,188112,188523,2.0,1284780032,99,7419609088,8573157376,60.0,2630Mhz,1000Mhz,
1789610049.8871582,9.010248188998958,188112,188523,2.3,1284780032,99,7419609088,8573157376,60.0,2630Mhz,1000Mhz,
1789610050.320505,9.44359462599823,188112,188523,0.0,1284792320,99,7421706240,8573157376,60.0,2630Mhz,1000Mhz,
1789610050.7304647,9.853554839995923,188112,188523,0.0,1284804608,99,7419609088,8573157376,61.0,2630Mhz,1000Mhz,
1789610051.1455626,10.26865244199871,188112,188523,4.7,1284820992,99,7419609088,8573157376,62.0,2630Mhz,1000Mhz,
1789610051.5748417,10.697931604001496,188112,188523,0.0,1284825088,99,7417507840,8573157376,62.0,2630Mhz,1000Mhz,
1789610051.9854834,11.108573644996795,188112,188523,2.4,1284845568,99,7417507840,8573157376,62.0,2630Mhz,1000Mhz,
1789610052.3961344,11.519224566996854,188112,188523,0.0,1284866048,99,7417507840,8573157376,62.0,2630Mhz,1000Mhz,
1789610052.8176482,11.940738400997361,188112,188523,0.0,1284874240,99,7415410688,8573157376,62.0,2630Mhz,1000Mhz,
1789610053.2344713,12.357561612996506,188112,188523,2.4,1284894720,99,7415410688,8573157376,62.0,2630Mhz,1000Mhz,
1789610053.6553934,12.778483169997344,188112,188523,0.0,1284902912,99,7415410688,8573157376,63.0,2630Mhz,1000Mhz,
